autor,orcid,institucion,publicacion,issn,licencia,lugar_fecha,id,familia,objeto,dominio,condicion_aplicada,regla,residual_controlado,salida_esperada,motivo,has_domain,has_frontier,has_trace,has_return,no_plane_confusion,h_admit,he_stabilization,hhe_pair,solar_reference,sol_origin_claim,in_omega,empirical_detected,delta_en,m_joint,rho,ip_suma,defecto,u_flag
Juan Antonio Lloret Egea,0000-0002-6634-3351,Instituto Tecnológico Virtual de la Inteligencia Artificial para el Español™ (ITVIA),IA eñ™ — La Biblia de la IA™,2695-6411,CC BY-NC-ND 4.0,"Madrid, 2026",H-01,hidrogeno,átomo neutro de hidrógeno con traza espectral,dominio material atómico retornable,"A_H^{SV}(Γ_M,F)",ADMISION_H,"R_H^{circ}: dominio, frontera, traza y retorno del hidrógeno",ADMISION,"frontera atómica, traza espectral y retorno declarados",1,1,1,1,1,1,,,,,,,,,,,,
Juan Antonio Lloret Egea,0000-0002-6634-3351,Instituto Tecnológico Virtual de la Inteligencia Artificial para el Español™ (ITVIA),IA eñ™ — La Biblia de la IA™,2695-6411,CC BY-NC-ND 4.0,"Madrid, 2026",H-02,hidrogeno,hidrógeno en plasma estelar,plasma bajo frontera estelar,"A_H^{SV}(Γ_M,F) bajo régimen",ADMISION_H,"R_H^{circ}: dominio, frontera, traza y retorno del hidrógeno",ADMISION,identidad material bajo plasma; no se exige átomo neutro,1,1,1,1,1,1,,,,,,,,,,,,
Juan Antonio Lloret Egea,0000-0002-6634-3351,Instituto Tecnológico Virtual de la Inteligencia Artificial para el Español™ (ITVIA),IA eñ™ — La Biblia de la IA™,2695-6411,CC BY-NC-ND 4.0,"Madrid, 2026",HE-01,helio,helio-4 con estabilidad nuclear ligera,dominio nuclear ligero retornable,estabilización ligera local,ADMISION_HE,R_He: estabilidad nuclear ligera y función diferenciada,ADMISION,estabilidad nuclear y función diferenciada declaradas,1,1,1,1,1,,1,,,,,,,,,,,
Juan Antonio Lloret Egea,0000-0002-6634-3351,Instituto Tecnológico Virtual de la Inteligencia Artificial para el Español™ (ITVIA),IA eñ™ — La Biblia de la IA™,2695-6411,CC BY-NC-ND 4.0,"Madrid, 2026",HHE-01,regimen_hhe,régimen H–He con apertura y estabilización,dominio material ordinario H–He,𝓗_{HHe}^{SV}(Γ_M),ADMISION_HHE,"R_{HHe}^{SV}: apertura por H, estabilización por He y retorno conjunto",ADMISION,"H abre, He estabiliza y el residual conjunto queda anulado",1,1,1,1,1,1,1,1,,,,,,,,,,
Juan Antonio Lloret Egea,0000-0002-6634-3351,Instituto Tecnológico Virtual de la Inteligencia Artificial para el Español™ (ITVIA),IA eñ™ — La Biblia de la IA™,2695-6411,CC BY-NC-ND 4.0,"Madrid, 2026",SOL-01,sol,Sol como referencia física H–He,"estrella H–He con plasma, fusión y retorno",corolario solar de articulación,ADMISION_SOL,"R_SOL: composición H-He, frontera estelar, fusión y retorno",ADMISION,"referencia física con composición, frontera estelar y retorno; no origen",1,1,1,1,1,,,,1,0,,,,,,,,
Juan Antonio Lloret Egea,0000-0002-6634-3351,Instituto Tecnológico Virtual de la Inteligencia Artificial para el Español™ (ITVIA),IA eñ™ — La Biblia de la IA™,2695-6411,CC BY-NC-ND 4.0,"Madrid, 2026",SV443-BASE-01,sv443,subdominio reconocido 1–118,tabla reconocida dentro de Ω_443,subdominio físico reconocido,ADMISION_SV443_BASE,"R_SV443: subdominio reconocido, dominio extendido y retorno de contraste",ADMISION,entrada reconocida como subdominio físico de contraste,1,1,1,1,1,,,,,,1,1,,,,,,
Juan Antonio Lloret Egea,0000-0002-6634-3351,Instituto Tecnológico Virtual de la Inteligencia Artificial para el Español™ (ITVIA),IA eñ™ — La Biblia de la IA™,2695-6411,CC BY-NC-ND 4.0,"Madrid, 2026",CPS-M-01,cps_sv,par estructural metálico compatible,"Ω_443 evaluado por D(A,B)","D(A,B), B.1–B.5",CPS,"R_CPS: D(A,B), criterios B.1-B.5, compatibilidad y persistencia",APTO-M,"diferencia baja, carácter metálico, compatibilidad posicional y persistencia energética",,,,,,,,,,,1,,0.2,0.7,1.1,1200,,
Juan Antonio Lloret Egea,0000-0002-6634-3351,Instituto Tecnológico Virtual de la Inteligencia Artificial para el Español™ (ITVIA),IA eñ™ — La Biblia de la IA™,2695-6411,CC BY-NC-ND 4.0,"Madrid, 2026",CPS-C-01,cps_sv,par estructural covalente compatible,"Ω_443 evaluado por D(A,B)","D(A,B), B.1–B.5",CPS,"R_CPS: D(A,B), criterios B.1-B.5, compatibilidad y persistencia",APTO-C,zona intermedia de enlace covalente estructural,,,,,,,,,,,1,,1.1,0.2,1.8,1500,,
Juan Antonio Lloret Egea,0000-0002-6634-3351,Instituto Tecnológico Virtual de la Inteligencia Artificial para el Español™ (ITVIA),IA eñ™ — La Biblia de la IA™,2695-6411,CC BY-NC-ND 4.0,"Madrid, 2026",CPS-I-01,cps_sv,par estructural iónico compatible,"Ω_443 evaluado por D(A,B)","D(A,B), B.1–B.5",CPS,"R_CPS: D(A,B), criterios B.1-B.5, compatibilidad y persistencia",APTO-I,diferencia estructural alta con persistencia energética admisible,,,,,,,,,,,1,,2.2,0.1,2.0,1600,,
Juan Antonio Lloret Egea,0000-0002-6634-3351,Instituto Tecnológico Virtual de la Inteligencia Artificial para el Español™ (ITVIA),IA eñ™ — La Biblia de la IA™,2695-6411,CC BY-NC-ND 4.0,"Madrid, 2026",EX-01,exclusion,símbolo H aislado,sin dominio material suficiente,A_H^{SV},DEFECTO,R_EX: detección de mezcla de planos o salto material indebido,DEFECTO,"nombrar H no declara dominio, frontera ni retorno",,,,,,,,,,,,,,,,,1,
