codigo,entrada_defectuosa,operacion_indebida,error_activado,resultado_esperado,autoria
N-01,D_L como r local,F = Gm1m2/D_L2,Distancia cosmológica usada como separación local,RECHAZO,Juan Antonio Lloret Egea | ORCID 0000-0002-6634-3351 | CC BY-NC-ND 4.0
N-02,D_A como r local,g = GM/D_A2,Sustitución de distancia angular por r gravitatoria,RECHAZO,Juan Antonio Lloret Egea | ORCID 0000-0002-6634-3351 | CC BY-NC-ND 4.0
N-03,Coordenada comóvil como distancia de fuerza,F = Gm1m2/D_M2,Uso dinámico local de distancia de modelo,RECHAZO,Juan Antonio Lloret Egea | ORCID 0000-0002-6634-3351 | CC BY-NC-ND 4.0
N-04,Λ como fuerza orbital,a = Lambda c2 r/3 para explicar órbita local,Término cosmológico tratado como fuerza local,RECHAZO,Juan Antonio Lloret Egea | ORCID 0000-0002-6634-3351 | CC BY-NC-ND 4.0
N-05,G como causa de expansión,G explica Lambda,Intercambio de constante local y curvatura cosmológica,RECHAZO,Juan Antonio Lloret Egea | ORCID 0000-0002-6634-3351 | CC BY-NC-ND 4.0
N-06,Λ como calor,Lambda = temperatura,Confusión de curvatura con magnitud térmica,RECHAZO,Juan Antonio Lloret Egea | ORCID 0000-0002-6634-3351 | CC BY-NC-ND 4.0
N-07,Energía oscura como sustancia material,rho_Lambda = materia ordinaria oculta,Sustancialización del término efectivo,RECHAZO,Juan Antonio Lloret Egea | ORCID 0000-0002-6634-3351 | CC BY-NC-ND 4.0
N-08,Energía de vacío desnuda = Lambda física,igualdad directa,"Falta renormalización, acoplamiento, dominio y retorno",RECHAZO,Juan Antonio Lloret Egea | ORCID 0000-0002-6634-3351 | CC BY-NC-ND 4.0
N-09,Toda energía es masa,E cualquiera -> m,"Ausencia de frontera, residual y traza",RECHAZO,Juan Antonio Lloret Egea | ORCID 0000-0002-6634-3351 | CC BY-NC-ND 4.0
N-10,Higgs explica toda masa,Higgs -> masa hadrónica y macroscópica total,Exceso de alcance de mecanismo parcial,RECHAZO,Juan Antonio Lloret Egea | ORCID 0000-0002-6634-3351 | CC BY-NC-ND 4.0
N-11,QCD explica toda persistencia material,confinamiento -> toda masa,Extrapolación de dominio hadrónico,RECHAZO,Juan Antonio Lloret Egea | ORCID 0000-0002-6634-3351 | CC BY-NC-ND 4.0
N-12,Campo = energía,identidad universal,Sinonimia sin unidad ni retorno,RECHAZO,Juan Antonio Lloret Egea | ORCID 0000-0002-6634-3351 | CC BY-NC-ND 4.0
N-13,Curvatura sin fuente ni acción,curvatura como explicación total,"Falta fuente, acción, variación y retorno",RECHAZO,Juan Antonio Lloret Egea | ORCID 0000-0002-6634-3351 | CC BY-NC-ND 4.0
N-14,G exacta por definición,G como constante definitoria SI,Confusión metrológica,RECHAZO,Juan Antonio Lloret Egea | ORCID 0000-0002-6634-3351 | CC BY-NC-ND 4.0
N-15,Preferencia estadística como fundamento,ajuste w(z) -> mecanismo final,Estadística o ajuste como cierre físico,RECHAZO,Juan Antonio Lloret Egea | ORCID 0000-0002-6634-3351 | CC BY-NC-ND 4.0
N-16,T_obs como tiempo soberano,T_obs causa cronológica,Confusión de escala de retorno con tiempo rector,RECHAZO,Juan Antonio Lloret Egea | ORCID 0000-0002-6634-3351 | CC BY-NC-ND 4.0
N-17,Distancia factual como longitud ordinaria,d_SV usada como metro físico sin transducción,Mezcla de distancia factual y longitud SI,RECHAZO,Juan Antonio Lloret Egea | ORCID 0000-0002-6634-3351 | CC BY-NC-ND 4.0
N-18,Salida no tabulada aceptada,resultado ausente de tablas,Pase silencioso,RECHAZO,Juan Antonio Lloret Egea | ORCID 0000-0002-6634-3351 | CC BY-NC-ND 4.0
