ID_CONTRASTE,ID_EXTRACCION,Estado_en_Lenguaje_SV,Capa_Afectada,Evidencia_Aportada,Tipo_de_Respuesta,IRQ_o_Vigilancia,SEC_Requeridas,Decision_Actual,Observaciones
C-001,E-001,CUBIERTO_PARCIAL,Doctrina/Gramática/IR,"La semántica del Lenguaje SV ya está orientada a eventos discretos y no a tiempo continuo, pero no existe todavía una capa explícita de sucesos admisibles en horizonte declarado.",DOCTRINAL,VIGILAR,SEC-SEM-01,ABRIR_IRQ,"Existe base doctrinal alineable, pero no clausura semántica específica aún."
C-002,E-002,CUBIERTO_PARCIAL,Doctrina/IR/Validación,"El Lenguaje SV ya reconoce horizonte formal, referencias de horizonte y vigilancia explícita sobre su uso futuro, pero no ha integrado aún el régimen completo de horizonte declarado, contraste situacional y competencia estructural tal como emerge en VII.x.",IR,VIGILAR,SEC-SEM-01|SEC-VAL-01,SIN_CAMBIOS,Cobertura formal mínima acreditada; no procede abrir IRQ inmediata sólo por existencia de horizonte.
C-003,E-003,CUBIERTO_PARCIAL,Doctrina/Validación,"El Lenguaje SV dispone de lógica de transición y control estructural, pero no consta aún formalización explícita de suceso admisible como unidad distinguida.",DOCTRINAL,VIGILAR,SEC-SEM-01|SEC-VAL-01,ABRIR_IRQ,Debe contrastarse contra validator e IR antes de decidir integración.
C-004,E-004,NO_CUBIERTO,Doctrina/IR/Validación,No consta representación explícita de distinción entre suceso local y suceso envolvente.,IR,ABRIR_IRQ,SEC-IR-01|SEC-VAL-01,RESERVAR_PARA_VII3,Puede ser apertura natural de VII.3 o posterior; no integrar aún sin delimitación.
C-005,E-005,CUBIERTO_PARCIAL,Doctrina/Validación,"La idea de reevaluación estructural existe en el sistema, pero no consta todavía formalización ligada a horizonte declarado y afectación situacional.",DOCTRINAL,VIGILAR,SEC-SEM-01|SEC-VAL-01,ABRIR_IRQ,Hay afinidad doctrinal fuerte pero no espejo semántico completo.
C-006,E-006,CUBIERTO_PARCIAL,Validación/Calidad,"La comparabilidad estructural sí parece tener anclajes parciales en el Lenguaje SV, pero debe comprobarse si están expresados sólo implícitamente o de forma operativa.",VALIDACION,VIGILAR,SEC-VAL-01|SEC-QA-01,SIN_CAMBIOS,Podría estar ya cubierto en parte por reglas existentes; requiere cotejo fino.
C-007,E-007,NO_CUBIERTO,Validación,No consta una noción explícita de umbral mínimo de diferencia o cambio mínimo estructural ligada a admisibilidad de suceso.,VALIDACION,ABRIR_IRQ,SEC-VAL-01,RESERVAR_PARA_VII3,Necesidad clara; evitar fijarla de forma prematura.
C-008,E-008,NO_CUBIERTO,Validación/Runner,No consta distinción explícita entre afectación débil y afectación fuerte como operadores o criterios de paso.,VALIDACION,ABRIR_IRQ,SEC-VAL-01|SEC-RUN-01,RESERVAR_PARA_VII3,Probablemente conectará con cadenas y acumulación.
C-009,E-009,NO_CUBIERTO,IR/Validación,No consta formalización explícita de precedencia estructural entre sucesos como relación separada de mera secuencia.,IR,ABRIR_IRQ,SEC-IR-01|SEC-VAL-01,RESERVAR_PARA_VII3,Pieza central para no recaer en cronología disfrazada.
C-010,E-010,SOLO_VIGILANCIA,Validación/Calidad,La aciclicidad de precedencia no debe imponerse todavía como restricción implementativa sin clausura doctrinal más fuerte.,SEGURIDAD,VIGILAR,SEC-VAL-01|SEC-QA-01,VIGILAR,"Debe tratarse aún como hipótesis de vigilancia, no como cierre obligatorio."
C-011,E-011,NO_CUBIERTO,Validación/IR,No consta aún un criterio explícito de compatibilidad derivada entre sucesos o configuraciones afectadas.,IR,ABRIR_IRQ,SEC-IR-01|SEC-VAL-01,RESERVAR_PARA_VII3,Muy probablemente deberá depender de la teoría de cadenas.
C-012,E-012,NO_PROCEDE_AUN,Doctrina/IR,Las cadenas admisibles todavía no deben imponerse al Lenguaje SV como estructura cerrada antes de la delimitación doctrinal de VII.3.,NO_PROCEDE_AUN,VIGILAR,SEC-SEM-01,RESERVAR_PARA_VII3,"No implementado aún como capacidad operativa específica, pero contemplado ya como horizonte arquitectónico explícito del Lenguaje SV."
C-013,E-013,NO_PROCEDE_AUN,Doctrina/IR/Runner,Los regímenes de acumulación y paso todavía no deben forzarse al Lenguaje SV antes del cierre doctrinal suficiente.,NO_PROCEDE_AUN,VIGILAR,SEC-SEM-01|SEC-RUN-01,RESERVAR_PARA_VII3,"No implementado aún como capacidad operativa específica, pero contemplado ya como horizonte arquitectónico explícito del Lenguaje SV."
C-014,E-014,NO_PROCEDE_AUN,Doctrina/IR,Las clases de sucesos y equivalencias complejas no deben abrirse aún en la capa de lenguaje.,NO_PROCEDE_AUN,VIGILAR,SEC-SEM-01,RESERVAR_PARA_POSTERIOR,Mantener cerrada la compuerta para no inflar semántica.
C-015,E-015,SOLO_VIGILANCIA,Validación/Seguridad,"La monotonicidad de la habilitación no debe tratarse todavía como invariante aprobado, sino como punto crítico de vigilancia.",SEGURIDAD,VIGILAR,SEC-VAL-01|SEC-SEC-01,VIGILAR,Debe vigilarse especialmente para evitar endurecimiento ilegítimo.
C-016,E-016,NO_CUBIERTO,Semántica/IR/Validación,"No consta aún una formulación explícita de respuesta estructural a suceso de horizonte que determine qué cambia, qué no cambia y bajo qué reevaluación legítima comparece la respuesta del sistema.",IRQ,ABRIR_IRQ,SEC-SEM-01|SEC-TRAZA-01,RESERVAR_PARA_VII3,Hueco fértil detectado por la prueba de estrés; no anticipar implementación antes de la delimitación doctrinal de VII.3.
C-017,E-017,NO_PROCEDE_AUN,Doctrina/IR/Validación,"El Lenguaje SV reconoce el horizonte de cadenas y acumulaciones como necesidad futura de arquitectura, pero no las incorpora todavía como estructura operativa cerrada.",NO_PROCEDE_AUN,VIGILAR,SEC-SEM-01|SEC-IR-01,RESERVAR_PARA_POSTERIOR,"Mantener como horizonte doctrinal ya reconocido, no como deuda funcional inmediata."
C-018,E-018,NO_PROCEDE_AUN,Doctrina/IR/Runner,"La acumulación eventiva discreta está contemplada como crecimiento posible del modelo, pero no procede todavía su cristalización operativa.",NO_PROCEDE_AUN,VIGILAR,SEC-SEM-01|SEC-RUN-01,RESERVAR_PARA_POSTERIOR,Debe evitarse toda reintroducción de temporalidad soberana por la vía de ejecución.
C-019,E-019,NO_PROCEDE_AUN,IR/Validator/Runner,"Persisten cautelas explícitas sobre persistencia, umbral y transición, sin clausura formal suficiente para alojar regímenes de paso completos.",NO_PROCEDE_AUN,VIGILAR,SEC-IR-01|SEC-VAL-01|SEC-RUN-01,RESERVAR_PARA_POSTERIOR,H3 y H2 restringido imponen cautela fuerte.
C-020,E-020,CUBIERTO_PARCIAL,Semántica/Validación,"El Lenguaje SV ya distingue cambios discretos y control estructural, pero no contiene todavía una formulación explícita y suficiente de respuesta estructural a suceso de horizonte.",DOCTRINAL,VIGILAR,SEC-SEM-01|SEC-VAL-01,SIN_CAMBIOS,"Existe afinidad material, no clausura semántica específica."
